AOR,CI,down,up,p_val,case_group,control_group,casecount,controlcount,blah
,,,,,"Semaglutide vs Bupropion/Naltrexone (n=1,185/cohort)",,,
0.73,0.73 (0.65-0.81),0.65,0.81,,567 (47.8%),681 (57.5%),,"","Medical encounter for TUD diagnosis "
0.62,0.62 (0.46-0.84),0.46,0.84,,70 (5.9%),110 (9.3%),,"","Smoking cessation counseling"
0.62,0.62 (0.49-0.78),0.49,0.78,,111 (9.4%),173 (15.0%),,"","Nicotine replacement therapy"
0.25,0.25 (0.21-0.29),0.21,0.29,,203 (17.1%),"621 (52.4%)",,"","Prescription of quit-smoking medications"
,,,,,"Semaglutide vs Phentermine/Topiramate (n=938/cohort)",,,
0.86,0.86 (0.75-0.98),0.75,0.98,,439 (46.8%),485 (51.7%),,"","Medical encounter for TUD diagnosis "
0.88,0.88 (0.62-1.25),0.62,1.25,,58 (6.2%),66 (7.0%),,"","Smoking cessation counseling"
0.70,0.70 (0.53-0.93),0.53,0.93,,85 (9.1%),117 (12.5%),,"","Nicotine replacement therapy"
0.90,0.90 (0.73-1.12),0.73,1.12,,154 (16.4%),169 (18.0%),,"","Prescription of quit-smoking medications"
