Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.9886914378029078,0.9809802035009351,0.9932869721810225,0.9717285945072692,0.9608438878456314,0.9796196243798804
2,0.9772425708639161,0.9672080847358487,0.9842314656834604,0.9595617089333052,0.9469920048194815,0.9691992904379718
3,0.9723235646347353,0.9614802751263004,0.9801459743281145,0.9489723182574706,0.9351499280080364,0.9599118217718904
4,0.9682174685002984,0.9567548952050293,0.9766787933874704,0.9383189157209022,0.9233744319450827,0.9504272212763666
5,0.9624689339120858,0.9502091392349511,0.9717549385707456,0.931745753439144,0.9161655797241287,0.9445184505320443
6,0.9591840570045365,0.9464991848773142,0.9689108209444238,0.9218598568509296,0.9053904314478339,0.9355648587857899
7,0.9493125229701849,0.9354545013934401,0.9602585241123717,0.9127896793684966,0.8955669428935538,0.9272881243650529
8,0.9435441309035258,0.9290607374697839,0.9551420711468958,0.9061872223748726,0.8884485992443003,0.9212310224926049
9,0.9369343646625198,0.921777934223531,0.9492351907933534,0.900399530261164,0.8822281574055354,0.9159018670292105
10,0.9319726645848719,0.9163388018325324,0.9447733849455303,0.895438651306557,0.8769105599736005,0.9113200131784994
11,0.92948961130445,0.9136247974141714,0.9425325056284473,0.8888119082811617,0.8698250033892115,0.9051818060188298
12,0.9245190786236777,0.9082066776906749,0.9380319998559679,0.8863268796466383,0.8671732179500247,0.9028747576274455
13,0.9212053901698294,0.9046052147497666,0.9350211587747659,0.8772065843462521,0.8574631339514376,0.8943855526095398
14,0.9162348574890572,0.8992177345654071,0.9304903273785886,0.8664076396525957,0.846007250196119,0.884292593589827
